Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
18,1612,1265000000,1.1648009339341023,-0.020708551795220513,1,5,1,-0.604528152916388,0,-0.07111809691209854
18,1725,365000000,-0.4965481367301373,-0.0027535958750791213,0,6,1,-0.604528152916388,2,-0.64214753815125
18,3172,565000000,0.5417950324350125,-0.008408700101895308,1,0,1,-0.604528152916388,0,0.15729367958356225
38,3243,2799000000,0.5417950324350125,-0.012650028272007448,1,5,1,-0.604528152916388,2,-0.07111809691209854
38,3252,699000000,-1.9502285735613472,-0.011660385032314615,1,5,1,-0.604528152916388,2,1.641970226805356
47,634,350000000,-1.327222672062257,-0.011236252215303402,0,6,1,-0.604528152916388,2,-0.2995298734077591
47,1403,1450000000,0.5417950324350125,-0.014912069962733922,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1847,8400000000,0.5417950324350125,-0.015477580385415541,1,5,1,-0.604528152916388,2,2.212999668044507
47,1923,1359000000,0.7494636662680425,-0.01703273404778999,0,5,1,-0.604528152916388,2,-0.07111809691209854
65,3754,515000000,0.9571323001010724,-0.022546460668935776,1,4,1,-0.604528152916388,2,-0.984765202894741
71,683,575000000,-0.28887950289710734,-0.009398343341588141,0,6,1,-0.604528152916388,2,-0.07111809691209854
71,2102,375000000,-1.1195540382292273,0.004649642445851619,1,0,0,-0.604528152916388,0,0.4999113443270529
71,2238,1025000000,1.3724695677671324,-0.02212232785192456,1,3,1,-0.604528152916388,1,0.0
71,4129,415000000,0.7494636662680425,-0.016467223625108374,0,6,1,-0.604528152916388,2,-0.64214753815125
71,4133,455000000,0.7494636662680425,-0.01151900742664421,0,6,1,-0.604528152916388,2,-0.64214753815125
75,4039,229000000,1.1648009339341023,-0.021130988080963684,0,4,1,-0.604528152916388,3,-2.3552358618687044
2,375,660000000,-0.4965481367301373,-0.006994924045191262,1,6,1,-0.604528152916388,2,-0.07111809691209854
23,572,365000000,0.5417950324350125,-0.019153398132846063,1,4,1,-0.604528152916388,2,-0.984765202894741
26,1856,369000000000000,-1.534891305895287,-0.013074161089018661,1,2,1,-0.604528152916388,2,-0.07111809691209854
44,82,558000000,0.7494636662680425,-0.019577530949857275,0,6,1,-0.604528152916388,2,-0.64214753815125
44,115,485000000,0.1264577647689526,-0.017386178061966004,0,4,1,-0.604528152916388,2,-0.07111809691209854
47,622,1279000000,0.7494636662680425,-0.01943615334418687,0,6,1,-0.604528152916388,2,-0.64214753815125
47,1387,1249000000,0.5417950324350125,-0.017456866864801208,0,6,1,-0.604528152916388,2,-0.64214753815125
