title,price,posted_date,specs
Xe Mazda CX5 2.5 AT AWD 2016,500 Triệu,30/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '75,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Mazda CX5 2.5 Signature Premium 2WD 2020,690 Triệu,30/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '45,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Mercedes Benz E class E200 2019,999 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '65,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mitsubishi Outlander 2.0 CVT 2022,690 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '45,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Peugeot 2008 GT Line 1.2 AT 2023,665 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.2 L'}"
Xe Suzuki Swift GLX 1.2 AT 2021,460 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '19,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.2 L'}"
Xe Toyota Fortuner 2.4G 4x2 AT Legender 2020,935 Triệu,30/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '65,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.4 L'}"
Xe Toyota Fortuner 2.8V 4x4 AT Legender 2021,1 Tỷ 50 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '55,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.8 L'}"
Xe Toyota Land Cruiser 3.5 V6 2023,5 Tỷ 186 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '36,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.4 L'}"
Xe Volvo XC60 Inscription B6 AWD 2022,1 Tỷ 699 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '53,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
